# event_id	event_time_ms	arrival_time_ms	account_id	salted_card_fingerprint	device_id	ip_prefix	merchant_event_id	amount_minor	currency	authorization_outcome
1	100000	100000	100	500	700	900	1001	40000	USD	approved
2	120000	120000	100	501	700	900	1002	30000	USD	approved
3	140000	140000	100	500	701	900	1003	60000	USD	approved
4	150000	150000	200	600	700	900	1004	25000	USD	approved
5	160000	160000	300	601	700	900	1005	20000	USD	approved
6	170000	170000	400	602	702	900	1006	15000	USD	approved
7	180000	180000	200	603	700	900	1007	10000	USD	approved
7	180000	181000	200	603	700	900	1007	10000	USD	approved
8	110000	200000	100	500	700	900	1008	30000	USD	approved
9	190000	210000	500	700	800	901	1009	5000	USD	declined
