seed	cardinality	bucket	estimate	signed_relative_error	absolute_relative_error
0	100	0	99.191405	-0.008085948	0.008085948
0	100	1	99.191405	-0.008085948	0.008085948
0	100	2	100.216046	0.002160456	0.002160456
0	100	3	100.216046	0.002160456	0.002160456
0	100	4	100.216046	0.002160456	0.002160456
0	100	5	100.216046	0.002160456	0.002160456
0	100	6	98.167021	-0.018329790	0.018329790
0	100	7	98.167021	-0.018329790	0.018329790
0	100	8	101.240942	0.012409424	0.012409424
0	100	9	100.216046	0.002160456	0.002160456
0	100	10	98.167021	-0.018329790	0.018329790
0	100	11	98.167021	-0.018329790	0.018329790
0	100	12	101.240942	0.012409424	0.012409424
0	100	13	100.216046	0.002160456	0.002160456
0	100	14	100.216046	0.002160456	0.002160456
0	100	15	101.240942	0.012409424	0.012409424
0	100	16	100.216046	0.002160456	0.002160456
0	100	17	100.216046	0.002160456	0.002160456
0	100	18	99.191405	-0.008085948	0.008085948
0	100	19	98.167021	-0.018329790	0.018329790
0	100	20	101.240942	0.012409424	0.012409424
0	100	21	101.240942	0.012409424	0.012409424
0	100	22	100.216046	0.002160456	0.002160456
0	100	23	99.191405	-0.008085948	0.008085948
0	500	0	504.875651	0.009751302	0.009751302
0	500	1	502.613917	0.005227834	0.005227834
0	500	2	495.836199	-0.008327602	0.008327602
0	500	3	506.006986	0.012013973	0.012013973
0	500	4	502.613917	0.005227834	0.005227834
0	500	5	504.875651	0.009751302	0.009751302
0	500	6	508.270595	0.016541190	0.016541190
0	500	7	502.613917	0.005227834	0.005227834
0	500	8	506.006986	0.012013973	0.012013973
0	500	9	503.744628	0.007489256	0.007489256
0	500	10	486.816652	-0.026366696	0.026366696
0	500	11	500.353431	0.000706863	0.000706863
0	500	12	506.006986	0.012013973	0.012013973
0	500	13	499.223656	-0.001552688	0.001552688
0	500	14	500.353431	0.000706863	0.000706863
0	500	15	509.402869	0.018805738	0.018805738
0	500	16	501.483518	0.002967036	0.002967036
0	500	17	504.875651	0.009751302	0.009751302
0	500	18	499.223656	-0.001552688	0.001552688
0	500	19	501.483518	0.002967036	0.002967036
0	500	20	507.138634	0.014277269	0.014277269
0	500	21	501.483518	0.002967036	0.002967036
0	500	22	501.483518	0.002967036	0.002967036
0	500	23	507.138634	0.014277269	0.014277269
0	1000	0	1007.300678	0.007300678	0.007300678
0	1000	1	1011.138879	0.011138879	0.011138879
0	1000	2	1004.743874	0.004743874	0.004743874
0	1000	3	979.263232	-0.020736768	0.020736768
0	1000	4	1004.743874	0.004743874	0.004743874
0	1000	5	1021.391701	0.021391701	0.021391701
0	1000	6	1002.188665	0.002188665	0.002188665
0	1000	7	989.436475	-0.010563525	0.010563525
0	1000	8	1017.543884	0.017543884	0.017543884
0	1000	9	983.075238	-0.016924762	0.016924762
0	1000	10	1004.743874	0.004743874	0.004743874
0	1000	11	1003.466070	0.003466070	0.003466070
0	1000	12	986.890795	-0.013109205	0.013109205
0	1000	13	1000.911658	0.000911658	0.000911658
0	1000	14	1002.188665	0.002188665	0.002188665
0	1000	15	981.804175	-0.018195825	0.018195825
0	1000	16	972.917762	-0.027082238	0.027082238
0	1000	17	991.983739	-0.008016261	0.008016261
0	1000	18	1006.022077	0.006022077	0.006022077
0	1000	19	997.083024	-0.002916976	0.002916976
0	1000	20	981.804175	-0.018195825	0.018195825
0	1000	21	1011.138879	0.011138879	0.011138879
0	1000	22	1007.300678	0.007300678	0.007300678
0	1000	23	989.436475	-0.010563525	0.010563525
0	5000	0	4940.816590	-0.011836682	0.011836682
0	5000	1	4900.920170	-0.019815966	0.019815966
0	5000	2	5032.030256	0.006406051	0.006406051
0	5000	3	4987.858944	-0.002428211	0.002428211
0	5000	4	4987.858944	-0.002428211	0.002428211
0	5000	5	5153.376413	0.030675283	0.030675283
0	5000	6	4947.503938	-0.010499212	0.010499212
0	5000	7	5032.030256	0.006406051	0.006406051
0	5000	8	4920.819805	-0.015836039	0.015836039
0	5000	9	4987.858944	-0.002428211	0.002428211
0	5000	10	5056.013595	0.011202719	0.011202719
0	5000	11	5001.399453	0.000279891	0.000279891
0	5000	12	4984.480800	-0.003103840	0.003103840
0	5000	13	5066.335314	0.013267063	0.013267063
0	5000	14	4974.363051	-0.005127390	0.005127390
0	5000	15	5011.584290	0.002316858	0.002316858
0	5000	16	4964.270233	-0.007145953	0.007145953
0	5000	17	4900.920170	-0.019815966	0.019815966
0	5000	18	5035.447861	0.007089572	0.007089572
0	5000	19	5008.186530	0.001637306	0.001637306
0	5000	20	5045.717821	0.009143564	0.009143564
0	5000	21	5025.203588	0.005040718	0.005040718
0	5000	22	4920.819805	-0.015836039	0.015836039
0	5000	23	4987.858944	-0.002428211	0.002428211
0	10000	0	9948.726102	-0.005127390	0.005127390
0	10000	1	10087.195626	0.008719563	0.008719563
0	10000	2	10267.136712	0.026713671	0.026713671
0	10000	3	10087.195626	0.008719563	0.008719563
0	10000	4	10110.735920	0.011073592	0.011073592
0	10000	5	9781.973088	-0.021802691	0.021802691
0	10000	6	9653.292348	-0.034670765	0.034670765
0	10000	7	9982.907107	-0.001709289	0.001709289
0	10000	8	10017.375753	0.001737575	0.001737575
0	10000	9	9948.726102	-0.005127390	0.005127390
0	10000	10	10075.476018	0.007547602	0.007547602
0	10000	11	10087.195626	0.008719563	0.008719563
0	10000	12	10242.682908	0.024268291	0.024268291
0	10000	13	10017.375753	0.001737575	0.001737575
0	10000	14	10182.179592	0.018217959	0.018217959
0	10000	15	10122.556996	0.012255700	0.012255700
0	10000	16	9836.806570	-0.016319343	0.016319343
0	10000	17	10098.948862	0.009894886	0.009894886
0	10000	18	10353.893359	0.035389336	0.035389336
0	10000	19	10481.108553	0.048110855	0.048110855
0	10000	20	10341.386479	0.034138648	0.034138648
0	10000	21	10134.412287	0.013441229	0.013441229
0	10000	22	10353.893359	0.035389336	0.035389336
0	10000	23	9814.785012	-0.018521499	0.018521499
0	50000	0	49806.071755	-0.003878565	0.003878565
0	50000	1	49354.648842	-0.012907023	0.012907023
0	50000	2	49435.973410	-0.011280532	0.011280532
0	50000	3	49643.606458	-0.007127871	0.007127871
0	50000	4	49813.681317	-0.003726374	0.003726374
0	50000	5	49396.458209	-0.012070836	0.012070836
0	50000	6	49339.137384	-0.013217252	0.013217252
0	50000	7	50750.344299	0.015006886	0.015006886
0	50000	8	50441.122578	0.008822452	0.008822452
0	50000	9	50404.896674	0.008097933	0.008097933
0	50000	10	48795.594098	-0.024088118	0.024088118
0	50000	11	50568.453343	0.011369067	0.011369067
0	50000	12	50355.944476	0.007118890	0.007118890
0	50000	13	48897.560690	-0.022048786	0.022048786
0	50000	14	48911.334530	-0.021773309	0.021773309
0	50000	15	50020.558725	0.000411174	0.000411174
0	50000	16	50274.293750	0.005485875	0.005485875
0	50000	17	51473.652539	0.029473051	0.029473051
0	50000	18	49254.218647	-0.014915627	0.014915627
0	50000	19	49238.177031	-0.015236459	0.015236459
0	50000	20	49032.206591	-0.019355868	0.019355868
0	50000	21	49737.197593	-0.005256048	0.005256048
0	50000	22	50849.999117	0.016999982	0.016999982
0	50000	23	49640.886053	-0.007182279	0.007182279
1	100	0	99.191405	-0.008085948	0.008085948
1	100	1	99.191405	-0.008085948	0.008085948
1	100	2	101.240942	0.012409424	0.012409424
1	100	3	101.240942	0.012409424	0.012409424
1	100	4	100.216046	0.002160456	0.002160456
1	100	5	99.191405	-0.008085948	0.008085948
1	100	6	101.240942	0.012409424	0.012409424
1	100	7	101.240942	0.012409424	0.012409424
1	100	8	98.167021	-0.018329790	0.018329790
1	100	9	99.191405	-0.008085948	0.008085948
1	100	10	99.191405	-0.008085948	0.008085948
1	100	11	101.240942	0.012409424	0.012409424
1	100	12	100.216046	0.002160456	0.002160456
1	100	13	100.216046	0.002160456	0.002160456
1	100	14	101.240942	0.012409424	0.012409424
1	100	15	101.240942	0.012409424	0.012409424
1	100	16	97.142893	-0.028571070	0.028571070
1	100	17	101.240942	0.012409424	0.012409424
1	100	18	101.240942	0.012409424	0.012409424
1	100	19	99.191405	-0.008085948	0.008085948
1	100	20	100.216046	0.002160456	0.002160456
1	100	21	101.240942	0.012409424	0.012409424
1	100	22	100.216046	0.002160456	0.002160456
1	100	23	99.191405	-0.008085948	0.008085948
1	500	0	500.353431	0.000706863	0.000706863
1	500	1	494.707669	-0.010584662	0.010584662
1	500	2	501.483518	0.002967036	0.002967036
1	500	3	500.353431	0.000706863	0.000706863
1	500	4	503.744628	0.007489256	0.007489256
1	500	5	506.006986	0.012013973	0.012013973
1	500	6	507.138634	0.014277269	0.014277269
1	500	7	492.451541	-0.015096918	0.015096918
1	500	8	499.223656	-0.001552688	0.001552688
1	500	9	508.270595	0.016541190	0.016541190
1	500	10	510.535456	0.021070911	0.021070911
1	500	11	501.483518	0.002967036	0.002967036
1	500	12	502.613917	0.005227834	0.005227834
1	500	13	499.223656	-0.001552688	0.001552688
1	500	14	496.965040	-0.006069920	0.006069920
1	500	15	500.353431	0.000706863	0.000706863
1	500	16	503.744628	0.007489256	0.007489256
1	500	17	500.353431	0.000706863	0.000706863
1	500	18	503.744628	0.007489256	0.007489256
1	500	19	502.613917	0.005227834	0.005227834
1	500	20	502.613917	0.005227834	0.005227834
1	500	21	494.707669	-0.010584662	0.010584662
1	500	22	496.965040	-0.006069920	0.006069920
1	500	23	501.483518	0.002967036	0.002967036
1	1000	0	985.618547	-0.014381453	0.014381453
1	1000	1	1012.419079	0.012419079	0.012419079
1	1000	2	999.635049	-0.000364951	0.000364951
1	1000	3	1007.300678	0.007300678	0.007300678
1	1000	4	989.436475	-0.010563525	0.010563525
1	1000	5	1008.579679	0.008579679	0.008579679
1	1000	6	998.358838	-0.001641162	0.001641162
1	1000	7	1008.579679	0.008579679	0.008579679
1	1000	8	976.723864	-0.023276136	0.023276136
1	1000	9	995.807607	-0.004192393	0.004192393
1	1000	10	1006.022077	0.006022077	0.006022077
1	1000	11	1003.466070	0.003466070	0.003466070
1	1000	12	993.257965	-0.006742035	0.006742035
1	1000	13	988.163437	-0.011836563	0.011836563
1	1000	14	993.257965	-0.006742035	0.006742035
1	1000	15	988.163437	-0.011836563	0.011836563
1	1000	16	1002.188665	0.002188665	0.002188665
1	1000	17	1013.699680	0.013699680	0.013699680
1	1000	18	1003.466070	0.003466070	0.003466070
1	1000	19	1011.138879	0.011138879	0.011138879
1	1000	20	984.346695	-0.015653305	0.015653305
1	1000	21	989.436475	-0.010563525	0.010563525
1	1000	22	993.257965	-0.006742035	0.006742035
1	1000	23	979.263232	-0.020736768	0.020736768
1	5000	0	5021.794515	0.004358903	0.004358903
1	5000	1	5073.230939	0.014646188	0.014646188
1	5000	2	4987.858944	-0.002428211	0.002428211
1	5000	3	4854.860247	-0.029027951	0.029027951
1	5000	4	4977.732858	-0.004453428	0.004453428
1	5000	5	5008.186530	0.001637306	0.001637306
1	5000	6	4954.202223	-0.009159555	0.009159555
1	5000	7	4897.612944	-0.020477411	0.020477411
1	5000	8	4991.239877	-0.001752025	0.001752025
1	5000	9	5107.884276	0.021576855	0.021576855
1	5000	10	5118.337705	0.023667541	0.023667541
1	5000	11	4848.322337	-0.030335533	0.030335533
1	5000	12	5153.376413	0.030675283	0.030675283
1	5000	13	4994.623603	-0.001075279	0.001075279
1	5000	14	5032.030256	0.006406051	0.006406051
1	5000	15	5025.203588	0.005040718	0.005040718
1	5000	16	5025.203588	0.005040718	0.005040718
1	5000	17	5021.794515	0.004358903	0.004358903
1	5000	18	4904.230070	-0.019153986	0.019153986
1	5000	19	4994.623603	-0.001075279	0.001075279
1	5000	20	5021.794515	0.004358903	0.004358903
1	5000	21	5059.451279	0.011890256	0.011890256
1	5000	22	5080.138191	0.016027638	0.016027638
1	5000	23	4877.825466	-0.024434907	0.024434907
1	10000	0	10040.517058	0.004051706	0.004051706
1	10000	1	10146.301990	0.014630199	0.014630199
1	10000	2	9870.062504	-0.012993750	0.012993750
1	10000	3	10075.476018	0.007547602	0.007547602
1	10000	4	10230.510536	0.023051054	0.023051054
1	10000	5	10328.917672	0.032891767	0.032891767
1	10000	6	10063.789848	0.006378985	0.006378985
1	10000	7	9847.861908	-0.015213809	0.015213809
1	10000	8	9792.881217	-0.020711878	0.020711878
1	10000	9	9836.806570	-0.016319343	0.016319343
1	10000	10	10230.510536	0.023051054	0.023051054
1	10000	11	10146.301990	0.014630199	0.014630199
1	10000	12	10052.136924	0.005213692	0.005213692
1	10000	13	9982.907107	-0.001709289	0.001709289
1	10000	14	10028.930063	0.002893006	0.002893006
1	10000	15	10052.136924	0.005213692	0.005213692
1	10000	16	9892.384085	-0.010761591	0.010761591
1	10000	17	10087.195626	0.008719563	0.008719563
1	10000	18	10194.208969	0.019420897	0.019420897
1	10000	19	9792.881217	-0.020711878	0.020711878
1	10000	20	10075.476018	0.007547602	0.007547602
1	10000	21	9870.062504	-0.012993750	0.012993750
1	10000	22	9881.208089	-0.011879191	0.011879191
1	10000	23	10017.375753	0.001737575	0.001737575
1	50000	0	50028.807506	0.000576150	0.000576150
1	50000	1	50728.121621	0.014562432	0.014562432
1	50000	2	51166.800733	0.023336015	0.023336015
1	50000	3	50568.277469	0.011365549	0.011365549
1	50000	4	49640.287386	-0.007194252	0.007194252
1	50000	5	50982.206668	0.019644133	0.019644133
1	50000	6	50633.855981	0.012677120	0.012677120
1	50000	7	50999.450521	0.019989010	0.019989010
1	50000	8	49644.904603	-0.007101908	0.007101908
1	50000	9	49377.406945	-0.012451861	0.012451861
1	50000	10	50040.463232	0.000809265	0.000809265
1	50000	11	50593.583760	0.011871675	0.011871675
1	50000	12	50253.513128	0.005070263	0.005070263
1	50000	13	49932.137959	-0.001357241	0.001357241
1	50000	14	49982.572454	-0.000348551	0.000348551
1	50000	15	50116.028531	0.002320571	0.002320571
1	50000	16	48897.204098	-0.022055918	0.022055918
1	50000	17	49689.755760	-0.006204885	0.006204885
1	50000	18	50348.893522	0.006977870	0.006977870
1	50000	19	50307.198588	0.006143972	0.006143972
1	50000	20	49636.263369	-0.007274733	0.007274733
1	50000	21	49725.830737	-0.005483385	0.005483385
1	50000	22	48702.545769	-0.025949085	0.025949085
1	50000	23	50138.491660	0.002769833	0.002769833
2	100	0	101.240942	0.012409424	0.012409424
2	100	1	101.240942	0.012409424	0.012409424
2	100	2	100.216046	0.002160456	0.002160456
2	100	3	100.216046	0.002160456	0.002160456
2	100	4	101.240942	0.012409424	0.012409424
2	100	5	99.191405	-0.008085948	0.008085948
2	100	6	100.216046	0.002160456	0.002160456
2	100	7	101.240942	0.012409424	0.012409424
2	100	8	100.216046	0.002160456	0.002160456
2	100	9	99.191405	-0.008085948	0.008085948
2	100	10	100.216046	0.002160456	0.002160456
2	100	11	99.191405	-0.008085948	0.008085948
2	100	12	101.240942	0.012409424	0.012409424
2	100	13	101.240942	0.012409424	0.012409424
2	100	14	100.216046	0.002160456	0.002160456
2	100	15	100.216046	0.002160456	0.002160456
2	100	16	99.191405	-0.008085948	0.008085948
2	100	17	101.240942	0.012409424	0.012409424
2	100	18	101.240942	0.012409424	0.012409424
2	100	19	98.167021	-0.018329790	0.018329790
2	100	20	101.240942	0.012409424	0.012409424
2	100	21	98.167021	-0.018329790	0.018329790
2	100	22	101.240942	0.012409424	0.012409424
2	100	23	100.216046	0.002160456	0.002160456
2	500	0	503.744628	0.007489256	0.007489256
2	500	1	509.402869	0.018805738	0.018805738
2	500	2	507.138634	0.014277269	0.014277269
2	500	3	502.613917	0.005227834	0.005227834
2	500	4	502.613917	0.005227834	0.005227834
2	500	5	496.965040	-0.006069920	0.006069920
2	500	6	492.451541	-0.015096918	0.015096918
2	500	7	492.451541	-0.015096918	0.015096918
2	500	8	501.483518	0.002967036	0.002967036
2	500	9	503.744628	0.007489256	0.007489256
2	500	10	493.579450	-0.012841101	0.012841101
2	500	11	498.094192	-0.003811615	0.003811615
2	500	12	494.707669	-0.010584662	0.010584662
2	500	13	495.836199	-0.008327602	0.008327602
2	500	14	499.223656	-0.001552688	0.001552688
2	500	15	503.744628	0.007489256	0.007489256
2	500	16	494.707669	-0.010584662	0.010584662
2	500	17	503.744628	0.007489256	0.007489256
2	500	18	499.223656	-0.001552688	0.001552688
2	500	19	506.006986	0.012013973	0.012013973
2	500	20	512.801569	0.025603138	0.025603138
2	500	21	504.875651	0.009751302	0.009751302
2	500	22	495.836199	-0.008327602	0.008327602
2	500	23	496.965040	-0.006069920	0.006069920
2	1000	0	1008.579679	0.008579679	0.008579679
2	1000	1	1008.579679	0.008579679	0.008579679
2	1000	2	1006.022077	0.006022077	0.006022077
2	1000	3	1009.859079	0.009859079	0.009859079
2	1000	4	998.358838	-0.001641162	0.001641162
2	1000	5	997.083024	-0.002916976	0.002916976
2	1000	6	1011.138879	0.011138879	0.011138879
2	1000	7	991.983739	-0.008016261	0.008016261
2	1000	8	998.358838	-0.001641162	0.001641162
2	1000	9	999.635049	-0.000364951	0.000364951
2	1000	10	1004.743874	0.004743874	0.004743874
2	1000	11	1004.743874	0.004743874	0.004743874
2	1000	12	997.083024	-0.002916976	0.002916976
2	1000	13	993.257965	-0.006742035	0.006742035
2	1000	14	1003.466070	0.003466070	0.003466070
2	1000	15	999.635049	-0.000364951	0.000364951
2	1000	16	980.533506	-0.019466494	0.019466494
2	1000	17	995.807607	-0.004192393	0.004192393
2	1000	18	1016.262082	0.016262082	0.016262082
2	1000	19	1011.138879	0.011138879	0.011138879
2	1000	20	1002.188665	0.002188665	0.002188665
2	1000	21	1008.579679	0.008579679	0.008579679
2	1000	22	999.635049	-0.000364951	0.000364951
2	1000	23	1014.980680	0.014980680	0.014980680
2	5000	0	5118.337705	0.023667541	0.023667541
2	5000	1	5014.984871	0.002996974	0.002996974
2	5000	2	5011.584290	0.002316858	0.002316858
2	5000	3	5052.578794	0.010515759	0.010515759
2	5000	4	4991.239877	-0.001752025	0.001752025
2	5000	5	4894.308385	-0.021138323	0.021138323
2	5000	6	5018.388278	0.003677656	0.003677656
2	5000	7	5035.447861	0.007089572	0.007089572
2	5000	8	5052.578794	0.010515759	0.010515759
2	5000	9	5062.891850	0.012578370	0.012578370
2	5000	10	4977.732858	-0.004453428	0.004453428
2	5000	11	4977.732858	-0.004453428	0.004453428
2	5000	12	4927.474558	-0.014505088	0.014505088
2	5000	13	5018.388278	0.003677656	0.003677656
2	5000	14	4977.732858	-0.004453428	0.004453428
2	5000	15	5011.584290	0.002316858	0.002316858
2	5000	16	4900.920170	-0.019815966	0.019815966
2	5000	17	5083.596191	0.016719238	0.016719238
2	5000	18	4914.175845	-0.017164831	0.017164831
2	5000	19	4981.105439	-0.003778912	0.003778912
2	5000	20	5052.578794	0.010515759	0.010515759
2	5000	21	5076.683109	0.015336622	0.015336622
2	5000	22	5097.457456	0.019491491	0.019491491
