tenant_id	unix_hour	exact_count	estimate	signed_relative_error	absolute_relative_error	serialized_size
0	0	1000	1008.579679	0.008579679	0.008579679	4124
0	1	1000	993.257965	-0.006742035	0.006742035	4124
0	2	1000	1011.138879	0.011138879	0.011138879	4124
0	3	1000	1012.419079	0.012419079	0.012419079	4124
0	4	1000	998.358838	-0.001641162	0.001641162	4124
0	5	1000	984.346695	-0.015653305	0.015653305	4124
0	6	1000	1004.743874	0.004743874	0.004743874	4124
0	7	1000	1008.579679	0.008579679	0.008579679	4124
0	8	1000	998.358838	-0.001641162	0.001641162	4124
0	9	1000	1008.579679	0.008579679	0.008579679	4124
0	10	1000	999.635049	-0.000364951	0.000364951	4124
0	11	1000	1003.466070	0.003466070	0.003466070	4124
0	12	1000	993.257965	-0.006742035	0.006742035	4124
0	13	1000	1007.300678	0.007300678	0.007300678	4124
0	14	1000	1012.419079	0.012419079	0.012419079	4124
0	15	1000	1009.859079	0.009859079	0.009859079	4124
0	16	1000	1002.188665	0.002188665	0.002188665	4124
0	17	1000	1003.466070	0.003466070	0.003466070	4124
0	18	1000	991.983739	-0.008016261	0.008016261	4124
0	19	1000	995.807607	-0.004192393	0.004192393	4124
0	20	5000	4894.308385	-0.021138323	0.021138323	4124
0	21	5000	4934.140142	-0.013171972	0.013171972	4124
0	22	5000	4937.477005	-0.012504599	0.012504599	4124
0	23	10000	9881.208089	-0.011879191	0.011879191	4124
1	0	1000	994.532588	-0.005467412	0.005467412	4124
1	1	1000	999.635049	-0.000364951	0.000364951	4124
1	2	1000	985.618547	-0.014381453	0.014381453	4124
1	3	1000	1017.543884	0.017543884	0.017543884	4124
1	4	1000	983.075238	-0.016924762	0.016924762	4124
1	5	1000	1002.188665	0.002188665	0.002188665	4124
1	6	1000	1000.911658	0.000911658	0.000911658	4124
1	7	1000	1003.466070	0.003466070	0.003466070	4124
1	8	1000	1018.826088	0.018826088	0.018826088	4124
1	9	1000	1013.699680	0.013699680	0.013699680	4124
1	10	1000	1002.188665	0.002188665	0.002188665	4124
1	11	1000	980.533506	-0.019466494	0.019466494	4124
1	12	1000	999.635049	-0.000364951	0.000364951	4124
1	13	1000	1000.911658	0.000911658	0.000911658	4124
1	14	1000	989.436475	-0.010563525	0.010563525	4124
1	15	1000	999.635049	-0.000364951	0.000364951	4124
1	16	1000	1007.300678	0.007300678	0.007300678	4124
1	17	1000	1009.859079	0.009859079	0.009859079	4124
1	18	1000	1002.188665	0.002188665	0.002188665	4124
1	19	1000	1008.579679	0.008579679	0.008579679	4124
1	20	5000	4974.363051	-0.005127390	0.005127390	4124
1	21	5000	4950.851711	-0.009829658	0.009829658	4124
1	22	5000	4900.920170	-0.019815966	0.019815966	4124
1	23	10000	10098.948862	0.009894886	0.009894886	4124
2	0	1000	993.257965	-0.006742035	0.006742035	4124
2	1	1000	1006.022077	0.006022077	0.006022077	4124
2	2	1000	990.709909	-0.009290091	0.009290091	4124
2	3	1000	1002.188665	0.002188665	0.002188665	4124
2	4	1000	997.083024	-0.002916976	0.002916976	4124
2	5	1000	989.436475	-0.010563525	0.010563525	4124
2	6	1000	999.635049	-0.000364951	0.000364951	4124
2	7	1000	1009.859079	0.009859079	0.009859079	4124
2	8	1000	1004.743874	0.004743874	0.004743874	4124
2	9	1000	1011.138879	0.011138879	0.011138879	4124
2	10	1000	1007.300678	0.007300678	0.007300678	4124
2	11	1000	997.083024	-0.002916976	0.002916976	4124
2	12	1000	1020.108694	0.020108694	0.020108694	4124
2	13	1000	994.532588	-0.005467412	0.005467412	4124
2	14	1000	983.075238	-0.016924762	0.016924762	4124
2	15	1000	1002.188665	0.002188665	0.002188665	4124
2	16	1000	1009.859079	0.009859079	0.009859079	4124
2	17	1000	1002.188665	0.002188665	0.002188665	4124
2	18	1000	1000.911658	0.000911658	0.000911658	4124
2	19	1000	999.635049	-0.000364951	0.000364951	4124
2	20	5000	5049.146871	0.009829374	0.009829374	4124
2	21	5000	5035.447861	0.007089572	0.007089572	4124
2	22	5000	4934.140142	-0.013171972	0.013171972	4124
2	23	10000	9870.062504	-0.012993750	0.012993750	4124
3	0	1000	990.709909	-0.009290091	0.009290091	4124
3	1	1000	994.532588	-0.005467412	0.005467412	4124
3	2	1000	1011.138879	0.011138879	0.011138879	4124
3	3	1000	1009.859079	0.009859079	0.009859079	4124
3	4	1000	1017.543884	0.017543884	0.017543884	4124
3	5	1000	985.618547	-0.014381453	0.014381453	4124
3	6	1000	995.807607	-0.004192393	0.004192393	4124
3	7	1000	997.083024	-0.002916976	0.002916976	4124
3	8	1000	1002.188665	0.002188665	0.002188665	4124
3	9	1000	995.807607	-0.004192393	0.004192393	4124
3	10	1000	985.618547	-0.014381453	0.014381453	4124
3	11	1000	994.532588	-0.005467412	0.005467412	4124
3	12	1000	1000.911658	0.000911658	0.000911658	4124
3	13	1000	997.083024	-0.002916976	0.002916976	4124
3	14	1000	1002.188665	0.002188665	0.002188665	4124
3	15	1000	993.257965	-0.006742035	0.006742035	4124
3	16	1000	1009.859079	0.009859079	0.009859079	4124
3	17	1000	1009.859079	0.009859079	0.009859079	4124
3	18	1000	1003.466070	0.003466070	0.003466070	4124
3	19	1000	1003.466070	0.003466070	0.003466070	4124
3	20	5000	4994.623603	-0.001075279	0.001075279	4124
3	21	5000	4835.277740	-0.032944452	0.032944452	4124
3	22	5000	4920.819805	-0.015836039	0.015836039	4124
3	23	10000	9870.062504	-0.012993750	0.012993750	4124
4	0	1000	1014.980680	0.014980680	0.014980680	4124
4	1	1000	1000.911658	0.000911658	0.000911658	4124
4	2	1000	1004.743874	0.004743874	0.004743874	4124
4	3	1000	1003.466070	0.003466070	0.003466070	4124
4	4	1000	1009.859079	0.009859079	0.009859079	4124
4	5	1000	997.083024	-0.002916976	0.002916976	4124
4	6	1000	995.807607	-0.004192393	0.004192393	4124
4	7	1000	1003.466070	0.003466070	0.003466070	4124
4	8	1000	1014.980680	0.014980680	0.014980680	4124
4	9	1000	1000.911658	0.000911658	0.000911658	4124
4	10	1000	983.075238	-0.016924762	0.016924762	4124
4	11	1000	1006.022077	0.006022077	0.006022077	4124
4	12	1000	993.257965	-0.006742035	0.006742035	4124
4	13	1000	986.890795	-0.013109205	0.013109205	4124
4	14	1000	983.075238	-0.016924762	0.016924762	4124
4	15	1000	998.358838	-0.001641162	0.001641162	4124
4	16	1000	988.163437	-0.011836563	0.011836563	4124
4	17	1000	997.083024	-0.002916976	0.002916976	4124
4	18	1000	1009.859079	0.009859079	0.009859079	4124
4	19	1000	1000.911658	0.000911658	0.000911658	4124
4	20	5000	5011.584290	0.002316858	0.002316858	4124
4	21	5000	5011.584290	0.002316858	0.002316858	4124
4	22	5000	4924.145830	-0.015170834	0.015170834	4124
4	23	10000	10005.853945	0.000585395	0.000585395	4124
5	0	1000	1007.300678	0.007300678	0.007300678	4124
5	1	1000	1006.022077	0.006022077	0.006022077	4124
5	2	1000	1003.466070	0.003466070	0.003466070	4124
5	3	1000	1008.579679	0.008579679	0.008579679	4124
5	4	1000	993.257965	-0.006742035	0.006742035	4124
5	5	1000	1007.300678	0.007300678	0.007300678	4124
5	6	1000	997.083024	-0.002916976	0.002916976	4124
5	7	1000	1004.743874	0.004743874	0.004743874	4124
5	8	1000	1009.859079	0.009859079	0.009859079	4124
5	9	1000	985.618547	-0.014381453	0.014381453	4124
5	10	1000	989.436475	-0.010563525	0.010563525	4124
5	11	1000	1009.859079	0.009859079	0.009859079	4124
5	12	1000	991.983739	-0.008016261	0.008016261	4124
5	13	1000	981.804175	-0.018195825	0.018195825	4124
5	14	1000	995.807607	-0.004192393	0.004192393	4124
5	15	1000	1025.243135	0.025243135	0.025243135	4124
5	16	1000	1008.579679	0.008579679	0.008579679	4124
5	17	1000	989.436475	-0.010563525	0.010563525	4124
5	18	1000	965.316151	-0.034683849	0.034683849	4124
5	19	1000	975.454771	-0.024545229	0.024545229	4124
5	20	5000	4934.140142	-0.013171972	0.013171972	4124
5	21	5000	5087.057112	0.017411422	0.017411422	4124
5	22	5000	4987.858944	-0.002428211	0.002428211	4124
5	23	10000	10017.375753	0.001737575	0.001737575	4124
6	0	1000	1000.911658	0.000911658	0.000911658	4124
6	1	1000	995.807607	-0.004192393	0.004192393	4124
6	2	1000	981.804175	-0.018195825	0.018195825	4124
6	3	1000	976.723864	-0.023276136	0.023276136	4124
6	4	1000	1016.262082	0.016262082	0.016262082	4124
6	5	1000	999.635049	-0.000364951	0.000364951	4124
6	6	1000	1004.743874	0.004743874	0.004743874	4124
6	7	1000	1009.859079	0.009859079	0.009859079	4124
6	8	1000	1020.108694	0.020108694	0.020108694	4124
6	9	1000	1002.188665	0.002188665	0.002188665	4124
6	10	1000	991.983739	-0.008016261	0.008016261	4124
6	11	1000	1014.980680	0.014980680	0.014980680	4124
6	12	1000	997.083024	-0.002916976	0.002916976	4124
6	13	1000	980.533506	-0.019466494	0.019466494	4124
6	14	1000	1000.911658	0.000911658	0.000911658	4124
6	15	1000	1007.300678	0.007300678	0.007300678	4124
6	16	1000	980.533506	-0.019466494	0.019466494	4124
6	17	1000	995.807607	-0.004192393	0.004192393	4124
6	18	1000	1011.138879	0.011138879	0.011138879	4124
6	19	1000	989.436475	-0.010563525	0.010563525	4124
6	20	5000	5042.291639	0.008458328	0.008458328	4124
6	21	5000	5028.615500	0.005723100	0.005723100	4124
6	22	5000	4977.732858	-0.004453428	0.004453428	4124
6	23	10000	10110.735920	0.011073592	0.011073592	4124
7	0	1000	999.635049	-0.000364951	0.000364951	4124
7	1	1000	985.618547	-0.014381453	0.014381453	4124
7	2	1000	1003.466070	0.003466070	0.003466070	4124
7	3	1000	997.083024	-0.002916976	0.002916976	4124
7	4	1000	999.635049	-0.000364951	0.000364951	4124
7	5	1000	988.163437	-0.011836563	0.011836563	4124
7	6	1000	1002.188665	0.002188665	0.002188665	4124
7	7	1000	995.807607	-0.004192393	0.004192393	4124
7	8	1000	994.532588	-0.005467412	0.005467412	4124
7	9	1000	1013.699680	0.013699680	0.013699680	4124
7	10	1000	1002.188665	0.002188665	0.002188665	4124
7	11	1000	985.618547	-0.014381453	0.014381453	4124
7	12	1000	997.083024	-0.002916976	0.002916976	4124
7	13	1000	1021.391701	0.021391701	0.021391701	4124
