name,ra_hours,dec_deg,mag,con,kind
Coalsack,12.85,-62.5,0.0,Cru,dark nebula
Hyades,4.45,15.85,0.5,Tau,open cluster
Col 70,5.59333,-1.08333,0.6,Ori,open cluster
Col 173,8.04694,-46.3833,0.6,Vel,open cluster
Large Magellanic Cloud,5.39294,-69.7561,0.8,-,galaxy
Col 302,16.4333,-26.2167,1.0,Sco,open cluster
Col 39,3.36667,49.0,1.2,Per,open cluster
Pleiades,3.79,24.117,1.6,Tau,open cluster
Col 256,12.4167,26.0,1.8,Com,open cluster
Southern Pleiades,10.72,-64.4,1.9,Car,open cluster
Col 135,7.28833,-36.8333,2.1,Pup,open cluster
Small Magellanic Cloud,0.877222,-72.8003,2.2,Tuc,galaxy
IC 2391,8.67,-53.0667,2.5,Vel,open cluster
NGC 6231,16.903,-41.8242,2.6,Sco,open cluster
Col 121,6.90333,-24.6333,2.6,Cma,open cluster
NGC 2451,7.75417,-37.9675,2.8,Pup,open cluster
Col 69,5.59133,9.94111,2.8,Ori,open cluster
NGC 3532,11.0965,-58.7703,3.0,Car,open cluster
Col 65,5.41806,15.6997,3.0,Tau,open cluster
Col 359,18.0183,2.9,3.0,Oph,open cluster
Praesepe,8.67283,19.6719,3.1,Cnc,open cluster
M 7,17.8975,-34.7928,3.3,Sco,open cluster
Col 140,7.39833,-32.2,3.5,Cma,open cluster
M 31,0.712306,41.2683,3.6,And,galaxy
Col 132,7.24,-31.1667,3.6,Cma,open cluster
Col 399,19.4233,20.1833,3.6,Vul,open cluster
NGC 2362,7.31153,-24.9542,3.8,CMa,open cluster
NGC 2516,7.96864,-60.7533,3.8,Car,open cluster
omega Cen,13.4461,-47.4769,3.9,Cen,globular cluster
47 Tuc,0.401417,-72.0808,4.0,Tuc,globular cluster
NGC 1981,5.586,-4.425,4.2,Ori,open cluster
NGC 2232,6.46697,-4.8475,4.2,Mon,open cluster
NGC 3114,10.0452,-60.1089,4.2,Car,open cluster
kappa Cru cluster,12.8936,-60.3561,4.2,Cru,open cluster
M 6,17.6724,-32.2542,4.2,Sco,open cluster
IC 4665,17.7717,5.71667,4.2,Oph,open cluster
Col 62,5.375,41.0,4.2,Aur,open cluster
IC 2581,10.4567,-57.6333,4.3,Car,open cluster
M 47,7.60972,-14.4825,4.4,Pup,open cluster
NGC 2478,7.60972,-14.4825,4.4,Pup,open cluster
